athlete,country,rank,age,final_points,points_behind,dive_round,dive_code,difficulty,judge_1,judge_2,judge_3,judge_4,judge_5,judge_6,judge_7,dive_score,cumulative_score
Yuming BAI,CHN,1,19,542.95,0.0,1,5253B,3.2,8.5,8.5,8.5,8.5,8.5,8.5,8.5,81.6,81.6
Yuming BAI,CHN,1,19,542.95,0.0,2,407C,3.2,9.0,8.5,9.0,9.0,9.0,8.5,9.0,86.4,168.0
Yuming BAI,CHN,1,19,542.95,0.0,3,626B,3.5,7.5,8.0,7.5,7.0,7.0,7.5,7.0,77.0,245.0
Yuming BAI,CHN,1,19,542.95,0.0,4,307C,3.4,9.0,8.5,9.5,9.5,9.0,9.0,9.0,91.8,336.8
Yuming BAI,CHN,1,19,542.95,0.0,5,207B,3.6,9.5,10.0,9.5,9.5,10.0,10.0,9.5,104.4,441.2
Yuming BAI,CHN,1,19,542.95,0.0,6,109C,3.7,9.5,9.5,9.0,9.0,9.5,9.0,8.5,101.75,542.95
Randal WILLARS VALDEZ,MEX,2,24,538.15,4.8,1,407B,3.5,8.5,8.0,8.0,8.5,8.0,8.0,8.5,85.75,85.75
Randal WILLARS VALDEZ,MEX,2,24,538.15,4.8,2,307C,3.4,8.0,8.5,7.5,7.0,7.5,7.5,7.5,76.5,162.25
Randal WILLARS VALDEZ,MEX,2,24,538.15,4.8,3,626B,3.5,8.5,8.0,8.0,8.5,8.5,8.5,8.0,87.5,249.75
Randal WILLARS VALDEZ,MEX,2,24,538.15,4.8,4,5255B,3.6,9.0,8.5,9.0,9.0,8.5,8.5,8.5,93.6,343.35
Randal WILLARS VALDEZ,MEX,2,24,538.15,4.8,5,207B,3.6,8.0,8.5,8.0,8.5,8.5,8.0,8.0,88.2,431.55
Randal WILLARS VALDEZ,MEX,2,24,538.15,4.8,6,109B,4.1,8.5,8.5,9.0,9.0,9.0,8.5,8.5,106.6,538.15
